티커,현재가,RSI,MFI,CCI,"추정수급(5일,만주)",거래량비율(5일평균대비),당일거래대금(억),이평선추세,MACD에너지,ADX(추세강도),종합점수
047560,9170,11.82,10.49,-127.16,-57.3,24.91,2.94,하락/역배열,하락추세,74.95,86.49
092040,1295,12.48,8.0,-78.71,125.4,39.73,2.41,하락/역배열,하락추세,61.05,83.07
200130,9250,19.57,7.42,-91.71,-139.5,6.42,1.89,하락/역배열,하락추세,38.22,81.98
044480,960,8.41,11.13,-60.05,-7.3,35.38,0.25,하락/역배열,골든크로스(0이하),42.33,81.82
046390,1496,11.9,12.5,-66.78,11.5,13.07,0.04,하락/역배열,하락추세,72.94,80.76
044380,1288,23.31,26.01,-160.72,-22.0,229.43,1.63,하락/역배열,하락추세,51.39,80.29
088800,2655,13.71,23.22,-82.33,51.9,32.29,1.63,하락/역배열,하락추세,43.42,77.89
052860,5190,17.49,15.95,-64.26,6.6,25.95,0.51,하락/역배열,하락추세,16.19,77.54
137310,7170,19.31,15.79,-68.2,30.7,18.7,1.17,하락/역배열,하락추세,25.44,77.32
294630,3000,15.22,19.9,-64.84,32.7,106.59,3.66,하락/역배열,하락추세,16.79,77.03
052400,47000,28.7,15.79,-100.72,-18.9,32.18,9.82,하락/역배열,하락추세,44.12,76.89
050110,1207,16.98,20.69,-72.16,-2.1,19.65,0.34,하락/역배열,골든크로스(0이하),44.73,76.79
043200,735,27.48,13.7,-78.39,-51.4,29.49,0.57,하락/역배열,골든크로스(0이하),37.27,76.14
052220,2215,28.57,9.87,-63.18,12.5,21.8,0.21,하락/역배열,골든크로스(0이하),25.62,75.78
001210,516,17.65,20.3,-60.53,80.1,25.97,0.39,하락/역배열,골든크로스(0이하),51.07,75.73
263750,39800,27.72,18.35,-84.58,102.2,24.69,39.63,하락/역배열,골든크로스(0이하),37.97,75.02
336260,77400,22.04,17.15,-55.09,21.5,36.45,102.26,하락/역배열,하락추세,48.89,74.86
010780,25350,22.04,22.09,-68.32,11.7,18.0,3.16,하락/역배열,하락추세,43.02,74.32
052020,11140,23.35,18.4,-57.71,3.5,28.36,7.86,하락/역배열,하락추세,37.1,74.23
095700,3125,23.74,21.31,-70.16,-2.4,61.45,2.48,하락/역배열,골든크로스(0이하),23.82,74.16
001770,13080,20.42,24.25,-67.08,0.1,18.25,0.02,하락/역배열,골든크로스(0이하),21.83,74.03
053290,1420,32.84,24.75,-114.96,-2.3,26.83,0.11,하락/역배열,골든크로스(0이하),20.3,73.72
006800,50600,16.59,35.95,-87.54,-1211.2,18.59,381.78,하락/역배열,하락추세,27.09,73.12
215600,2560,24.3,25.08,-72.39,73.8,42.19,3.87,하락/역배열,골든크로스(0이하),43.11,72.91
049950,11620,26.56,21.46,-63.01,-1.1,48.16,1.57,하락/역배열,하락추세,41.56,72.58
078350,24800,25.99,25.99,-78.09,9.5,88.59,55.1,하락/역배열,하락추세,40.18,72.51
053030,8110,32.6,16.01,-63.77,-199.8,4.82,2.21,하락/역배열,골든크로스(0이하),17.83,72.44
049480,2145,22.38,27.24,-67.64,37.1,36.08,1.46,하락/역배열,하락추세,56.85,72.43
002390,7950,33.64,12.84,-51.72,0.4,48.86,0.32,하락/역배열,골든크로스(0이하),30.8,72.15
042520,24950,25.56,26.85,-73.25,-3.6,50.16,15.98,하락/역배열,하락추세,27.4,71.97
053580,6750,33.81,16.07,-60.73,0.4,39.74,0.43,하락/역배열,골든크로스(0이하),39.05,71.77
052260,3670,36.61,15.67,-62.35,7.5,13.71,0.21,하락/역배열,골든크로스(0이하),37.69,71.1
047310,3970,23.8,28.53,-61.84,31.2,37.47,2.05,하락/역배열,하락추세,23.57,71.04
048410,9600,20.0,31.96,-58.92,344.5,21.07,28.68,하락/역배열,하락추세,41.37,70.92
046120,7470,27.45,24.92,-54.99,88.7,37.51,9.35,하락/역배열,골든크로스(0이하),14.32,70.46
000250,267500,24.23,31.83,-69.55,16.3,40.47,189.25,하락/역배열,골든크로스(0이하),65.28,70.44
050760,1105,27.45,22.72,-45.84,10.6,46.28,0.19,하락/역배열,하락추세,18.72,70.43
045510,828,28.42,25.95,-61.86,8.9,21.95,0.07,하락/역배열,하락추세,30.59,70.37
256150,4840,29.23,20.66,-42.7,0.8,43.81,0.11,하락/역배열,하락추세,27.63,70.26
046310,2215,33.56,20.74,-60.06,7.3,15.52,0.09,하락/역배열,골든크로스(0이하),35.49,70.24
049470,1700,27.27,23.72,-42.03,12.7,45.14,0.3,하락/역배열,골든크로스(0이하),75.79,69.84
247540,179900,33.94,18.27,-41.63,-5.0,31.25,302.71,하락/역배열,하락추세,29.96,69.4
024880,4430,24.03,30.08,-48.5,48.1,33.02,1.62,하락/역배열,하락추세,71.9,69.34
108320,49750,25.27,34.87,-72.2,-4.4,105.65,82.21,하락/역배열,하락추세,30.02,69.3
007570,8480,32.64,18.78,-36.86,3.7,17.47,0.41,하락/역배열,골든크로스(0이하),31.22,69.27
001430,46950,25.31,33.13,-58.76,81.0,29.92,46.86,하락/역배열,하락추세,32.66,68.75
025900,8090,34.37,22.11,-50.26,31.4,20.24,1.36,하락/역배열,골든크로스(0이하),22.37,68.7
000990,158000,31.79,34.86,-89.42,331.8,8.06,144.81,하락/역배열,하락추세,29.96,68.57
032580,5160,39.55,19.88,-58.13,112.8,77.76,32.77,하락/역배열,하락추세,26.46,68.37
326030,89300,43.01,11.44,-37.63,89.7,11.84,30.98,하락/역배열,골든크로스(0이하),17.03,68.32
063170,5080,32.27,26.77,-55.9,17.4,24.92,0.49,하락/역배열,골든크로스(0이하),37.43,68.31
036540,7220,29.59,29.45,-54.39,1048.9,44.5,90.81,하락/역배열,하락추세,37.46,68.19
050960,8050,32.57,20.36,-29.61,1.9,14.05,0.04,하락/역배열,골든크로스(0이하),36.74,68.16
040610,3195,31.05,26.32,-46.21,11.0,20.15,0.21,하락/역배열,골든크로스(0이하),45.37,68.06
051370,9590,27.61,31.28,-51.11,46.4,20.94,2.03,하락/역배열,골든크로스(0이하),31.12,67.96
003480,4955,36.82,22.45,-52.59,8.9,34.31,0.49,하락/역배열,하락추세,43.62,67.96
185750,73500,31.97,26.6,-47.24,-0.0,25.18,6.61,하락/역배열,골든크로스(0이하),46.49,67.75
005490,390000,37.26,20.51,-36.79,3.5,35.58,451.13,하락/역배열,하락추세,67.4,67.14
290670,6940,32.35,26.74,-40.77,5.5,25.52,0.24,하락/역배열,골든크로스(0이하),67.39,67.04
005800,13380,37.06,19.5,-28.32,-0.5,37.77,0.29,하락/역배열,골든크로스(0이하),40.47,66.84
019170,9230,31.18,29.4,-42.49,22.9,56.38,3.99,하락/역배열,골든크로스(0이하),34.18,66.68
003620,3215,40.16,19.36,-36.52,62.4,61.34,10.61,하락/역배열,골든크로스(0이하),38.03,66.54
053450,4210,32.76,36.73,-74.47,46.4,56.53,4.0,하락/역배열,골든크로스(0이하),29.81,66.37
033320,3305,28.03,38.31,-59.3,23.2,37.52,0.68,하락/역배열,골든크로스(0이하),67.14,66.16
450080,57800,34.65,23.94,-28.16,-5.4,29.55,57.55,하락/역배열,골든크로스(0이하),52.95,66.15
090430,110500,38.04,28.68,-60.6,24.2,22.76,43.54,하락/역배열,골든크로스(0이하),55.08,66.14
033530,7230,31.25,27.12,-26.92,40.7,243.78,19.77,하락/역배열,하락추세,26.46,66.12
160550,1300,37.78,21.61,-30.29,14.6,22.77,0.09,하락/역배열,골든크로스(0이하),47.72,66.06
004020,35400,32.35,31.66,-48.38,-5.8,26.41,92.06,하락/역배열,하락추세,18.07,66.03
222080,10850,33.33,31.16,-49.97,291.9,30.83,28.58,하락/역배열,골든크로스(0이하),37.24,66.0
036830,44975,39.6,28.53,-63.31,6.2,18.12,7.4,하락/역배열,골든크로스(0이하),43.22,65.9
378850,3110,30.0,35.37,-49.43,11.8,24.47,0.2,하락/역배열,하락추세,27.41,65.66
253450,24900,32.77,37.32,-67.7,27.2,22.3,4.37,하락/역배열,골든크로스(0이하),47.28,65.61
417970,14270,31.61,39.07,-69.27,22.9,17.54,1.93,하락/역배열,하락추세,33.82,65.54
003520,1278,34.06,29.49,-37.92,99.8,20.71,0.58,하락/역배열,골든크로스(0이하),46.02,65.31
058820,1132,28.89,39.79,-56.14,61.5,51.01,1.68,하락/역배열,골든크로스(0이하),58.01,65.12
053800,58800,36.54,28.63,-40.54,-10.6,6.46,2.17,하락/역배열,골든크로스(0이하),13.42,64.99
005250,11480,31.58,32.26,-34.2,116.3,13.32,5.21,하락/역배열,골든크로스(0이하),24.74,64.9
000670,47250,34.7,35.12,-57.95,5.6,48.27,6.25,하락/역배열,골든크로스(0이하),18.34,64.89
064550,7880,29.82,42.28,-62.55,71.4,15.92,3.25,하락/역배열,골든크로스(0이하),23.91,64.51
013120,2325,35.59,29.91,-33.07,-1.6,41.56,0.89,하락/역배열,골든크로스(0이하),33.78,64.26
049830,6750,36.72,25.04,-14.01,0.2,16.58,0.02,하락/역배열,골든크로스(0이하),44.76,63.91
027710,1103,33.99,32.68,-31.68,140.9,25.42,1.31,하락/역배열,골든크로스(0이하),58.87,63.75
054090,932,39.42,29.36,-39.7,-13.0,30.03,0.2,하락/역배열,골든크로스(0이하),33.92,63.72
016100,1360,37.84,27.5,-25.87,1.6,10.47,0.03,하락/역배열,골든크로스(0이하),18.75,63.71
052600,3160,36.81,28.68,-24.7,2.6,44.1,0.18,하락/역배열,골든크로스(0이하),33.88,63.56
003920,43550,37.8,40.15,-74.43,0.3,32.84,1.93,하락/역배열,하락추세,39.07,63.55
282330,124000,46.08,36.1,-90.84,-65.5,10.32,25.5,하락/역배열,하락추세,53.42,63.51
049080,993,7.9,71.99,-81.23,0.0,0.0,0.0,하락/역배열,하락추세,62.92,63.47
121600,60600,39.33,29.39,-34.21,23.5,18.71,8.36,하락/역배열,골든크로스(0이하),46.53,63.28
078600,121800,33.72,38.62,-47.57,108.8,38.13,119.31,하락/역배열,하락추세,26.03,63.18
086520,122800,35.02,31.33,-21.23,325.8,24.84,278.01,하락/역배열,골든크로스(0이하),42.89,62.98
235980,3490,38.89,32.51,-38.74,22.8,42.71,0.98,하락/역배열,골든크로스(0이하),44.0,62.76
039200,39600,33.33,46.4,-70.98,16.4,27.24,20.57,하락/역배열,골든크로스(0이하),36.51,62.67
018700,1255,31.2,57.21,-104.79,-23.1,4.73,0.03,하락/역배열,하락추세,22.76,62.6
068760,44000,32.51,42.13,-48.52,45.9,17.22,7.47,하락/역배열,골든크로스(0이하),38.48,62.5
053300,5230,40.4,38.92,-65.81,29.4,29.58,2.24,하락/역배열,골든크로스(0이하),35.05,62.37
000100,78800,36.78,38.81,-49.06,-15.8,22.73,39.2,하락/역배열,골든크로스(0이하),30.65,62.23
032860,726,33.97,49.83,-80.33,-20.4,14.91,0.06,하락/역배열,골든크로스(0이하),35.89,62.09
041020,3365,20.98,63.71,-83.53,-259.3,38.48,13.94,하락/역배열,하락추세,50.09,62.06
011760,26050,38.27,24.29,6.28,10.5,25.72,1.56,하락/역배열,골든크로스(0이하),23.23,61.96
065350,42050,38.2,37.98,-48.09,40.7,28.26,14.88,하락/역배열,골든크로스(0이하),34.56,61.95
213420,37750,38.33,32.11,-24.06,26.0,23.9,18.79,하락/역배열,골든크로스(0이하),28.91,61.86
000640,85500,35.43,37.54,-32.15,-0.7,10.46,1.11,하락/역배열,골든크로스(0이하),25.24,61.69
091700,6530,33.97,43.07,-48.22,60.4,24.63,4.05,하락/역배열,골든크로스(0이하),9.77,61.67
001060,27400,40.11,27.52,-10.42,16.2,25.96,3.52,하락/역배열,골든크로스(0이하),17.29,61.66
046890,12700,40.18,47.64,-89.0,236.3,10.95,18.19,하락/역배열,하락추세,33.85,61.48
178920,23500,32.56,40.85,-27.89,16.1,64.33,19.26,하락/역배열,하락추세,33.18,61.19
004370,370500,40.27,45.85,-77.92,3.9,15.04,13.49,하락/역배열,하락추세,30.05,61.12
393890,12820,33.46,54.58,-84.15,85.3,39.88,10.38,하락/역배열,하락추세,44.68,61.0
010130,1261000,37.48,35.71,-22.37,1.7,28.73,65.58,하락/역배열,골든크로스(0이하),27.73,60.8
001440,42550,36.22,41.28,-38.81,1206.6,83.25,1208.55,하락/역배열,하락추세,15.86,60.73
